4.139882789999997215e+01,2.182587776420588099e+00
4.139849765569928763e+01,2.182566148252449878e+00
4.139817059017783407e+01,2.182501472039118706e+00
4.139784985332696010e+01,2.182394370647883441e+00
4.139753853413407825e+01,2.182245875523690870e+00
4.139723963092958314e+01,2.182057416755760926e+00
4.139695602250531437e+01,2.181830809305051577e+00
4.139669044038281953e+01,2.181568235525189969e+00
4.139644544249905067e+01,2.181272224145212046e+00
4.139622338856288053e+01,2.180945625916525188e+00
4.139602641732040667e+01,2.180591586158607154e+00
4.139585642594830972e+01,2.180213514467864488e+00
4.139571505177382704e+01,2.179815051881354826e+00
4.139560365649808205e+01,2.179400035811607239e+00
4.139552331307489652e+01,2.178972463090245171e+00
4.139547479537153407e+01,2.178536451476309033e+00
4.139545857071158252e+01,2.178096199999989935e+00
4.139547479537153407e+01,2.177655948523671281e+00
4.139552331307489652e+01,2.177219936909736031e+00
4.139560365649808205e+01,2.176792364188373519e+00
4.139571505177382704e+01,2.176377348118625932e+00
4.139585642594830972e+01,2.175978885532115825e+00
4.139602641732040667e+01,2.175600813841373604e+00
4.139622338856288053e+01,2.175246774083455126e+00
4.139644544249905067e+01,2.174920175854767823e+00
4.139669044038281953e+01,2.174624164474790788e+00
4.139695602250531437e+01,2.174361590694928736e+00
4.139723963092958314e+01,2.174134983244219388e+00
4.139753853413407825e+01,2.173946524476289888e+00
4.139784985332696010e+01,2.173798029352096872e+00
4.139817059017783407e+01,2.173690927960862052e+00
4.139849765569928763e+01,2.173626251747530436e+00
4.139882789999997215e+01,2.173604623579392658e+00
4.139915814262261051e+01,2.173626251747530436e+00
4.139948520317434344e+01,2.173690927960862052e+00
4.139980593195485881e+01,2.173798029352096872e+00
4.140011724028685336e+01,2.173946524476289888e+00
4.140041613025731948e+01,2.174134983244219388e+00
4.140069972358300987e+01,2.174361590694928736e+00
4.140096528932256348e+01,2.174624164474790788e+00
4.140121027016866151e+01,2.174920175854767823e+00
4.140143230706716793e+01,2.175246774083455126e+00
4.140162926192670056e+01,2.175600813841373604e+00
4.140179923820021912e+01,2.175978885532115825e+00
4.140194059914067282e+01,2.176377348118625932e+00
4.140205198355552341e+01,2.176792364188373519e+00
4.140213231890835033e+01,2.177219936909735587e+00
4.140218083164199925e+01,2.177655948523671281e+00
4.140219705462389044e+01,2.178096199999989935e+00
4.140218083164199925e+01,2.178536451476309033e+00
4.140213231890835033e+01,2.178972463090244727e+00
4.140205198355552341e+01,2.179400035811607239e+00
4.140194059914067282e+01,2.179815051881354826e+00
4.140179923820021912e+01,2.180213514467864488e+00
4.140162926192670056e+01,2.180591586158607154e+00
4.140143230706716793e+01,2.180945625916525188e+00
4.140121027016866151e+01,2.181272224145212046e+00
4.140096528932256348e+01,2.181568235525189969e+00
4.140069972358300987e+01,2.181830809305051577e+00
4.140041613025731948e+01,2.182057416755760926e+00
4.140011724028685336e+01,2.182245875523690870e+00
4.139980593195485881e+01,2.182394370647883441e+00
4.139948520317434344e+01,2.182501472039118706e+00
4.139915814262261051e+01,2.182566148252449878e+00
4.139882789999997215e+01,2.182587776420588099e+00
