lat_dms,lon_dms
41.3988279,2.1780962
41.38929754601201,2.190800296580879
41.3853495348855,2.17809619999999
41.38929754601201,2.1653921034191015
41.39882789999997,2.1601298943175995
41.408356856672114,2.1653921034191015
41.41230347048281,2.17809619999999
41.408356856672114,2.190800296580879
41.39882789999997,2.196062505682381
41.39096545882605,2.188577079679223
41.3877084505107,2.17809619999999
41.39096545882605,2.1676153203207567
41.39882789999997,2.163273997812018
41.406689390125806,2.1676153203207567
41.40994544739307,2.17809619999999
41.406689390125806,2.188577079679223
41.39882789999997,2.192918402187962
41.392633328848795,2.186353862777568
41.39006728055451,2.17809619999999
41.392633328848795,2.1698385372224123
41.39882789999997,2.1664181013064363
41.40502188078521,2.1698385372224123
41.407587338713554,2.17809619999999
41.40502188078521,2.186353862777568
41.39882789999997,2.189774298693544
41.39430115607991,2.1841306458759124
41.39242602501604,2.17809619999999
41.39430115607991,2.172061754124068
41.39882789999997,2.1695622048008545
41.40335432865066,2.172061754124068
41.40522914444514,2.17809619999999
41.40335432865066,2.1841306458759124
41.39882789999997,2.186630195199126
41.395968940519076,2.181907428974257
41.39478468389439,2.17809619999999
41.395968940519076,2.1742849710257235
41.39882789999997,2.172706308295273
41.40168673372245,2.1742849710257235
41.40287086458871,2.17809619999999
41.40168673372245,2.181907428974257
41.39882789999997,2.183486091704707
41.39763668216598,2.179684212072601
41.39714325718868,2.17809619999999
41.39763668216598,2.176508187927379
41.39882789999997,2.1758504117896913
41.40001909600092,2.176508187927379
41.40051249914515,2.17809619999999
41.40001909600092,2.179684212072601
41.39882789999997,2.180341988210289
41.38810615351766,2.19238830865349
41.38366454275693,2.17809619999999
41.38810615351766,2.16380409134649
41.39882789999997,2.1578841061073013
41.40954787800444,2.16380409134649
41.41398772028736,2.17809619999999
41.40954787800444,2.19238830865349
41.39882789999997,2.1983082938926795
